question,A,B,C,D,answer,file
Which of the following message formats is supported by both Kafka and AWS SQS in Dataiku DSS?,XML,JSON,CSV,YAML,B,../data/dataiku\streaming\index.md
Where can you enable streaming features in Dataiku DSS?,Administration > Settings > Misc. > Other,Administration > Settings > Streaming > Enable,Settings > Streaming > Activate,Settings > Misc. > Streaming,A,../data/dataiku\streaming\index.md
Which of the following protocols does DSS support for communicating with Kafka brokers?,HTTP and HTTPS,PLAINTEXT and SASL,FTP and SFTP,SMTP and IMAP,B,../data/dataiku\streaming\kafka.md
What is required when using SSL with Kafka in DSS?,Only a keystore,Only a truststore,Both a keystore and a truststore,No additional requirements,C,../data/dataiku\streaming\kafka.md
Which format does DSS use to read Avro messages from Kafka?,Base64,XML,SerDes from Confluent,Protobuf,C,../data/dataiku\streaming\kafka.md
What format do SQS messages support in Dataiku DSS?,Binary and Text,Text and JSON,XML and JSON,Binary and XML,B,../data/dataiku\streaming\sqs.md
Which method is used to access data from streaming endpoints in DSS?,getStream(),getData(),fetchStream(),retrieveData(),A,../data/dataiku\streaming\streaming_spark_scala.md
What is the purpose of the awaitTermination() call in DSS streaming operations?,To initialize the streaming context,To wait for the sources to stop,To start the streaming process,To terminate the streaming context,B,../data/dataiku\streaming\streaming_spark_scala.md
Which of the following statements is true about wide format time series data?,It stores values from distinct time series in the same column.,It has an identifier column that provides context for the value in each row.,Each distinct time series is in a separate column.,It is a compact way of representing multiple time series.,C,../data/dataiku\time-series\data-formatting.md
Which processor can be used to convert data from wide to long format?,Pivot recipe,Fold multiple columns processor,Aggregate recipe,Join recipe,B,../data/dataiku\time-series\data-formatting.md
Which of the following is NOT a use-case for time series analysis and prediction?,Forecasting of quarterly sales and profits,Weather forecasting,Trend detection,Image classification,D,../data/dataiku\time-series\index.md
What is the primary purpose of time series forecasting?,To classify data into different categories.,To predict future values of time series based on prior values.,To cluster similar data points together.,To reduce the dimensionality of data.,B,../data/dataiku\time-series\time-series-forecasting.md
What type must the timestamp be to use the time series line chart in Dataiku?,String,Integer,Date,Float,C,../data/dataiku\time-series\time-series-visualization.md
Which of the following best describes a univariate time series?,A single variable that depends on time.,Two or more interrelated variables that depend on time.,Multiple unrelated time series.,A single variable that does not depend on time.,A,../data/dataiku\time-series\understanding-time-series.md
What is a characteristic of a multivariate time series?,It consists of a single variable that depends on time.,It consists of two or more interrelated variables that depend on time.,It consists of multiple unrelated time series.,It consists of a single variable that does not depend on time.,B,../data/dataiku\time-series\understanding-time-series.md
Which of the following is an example of multiple time series?,Daily closing stock prices for a specific company.,Temperature and humidity levels of a city.,Daily prices for a group of unrelated companies.,Volume of stocks traded daily for a specific company.,C,../data/dataiku\time-series\understanding-time-series.md
Which of the following is NOT a component of the trend/seasonal decomposition in Dataiku?,Trend,Seasonality,Residuals,Variance,D,../data/dataiku\time-series\time-series-preparation\decomposition.md
What is the decomposition model type that is only compatible with positive numerical values?,Additive,Multiplicative,Linear,Exponential,B,../data/dataiku\time-series\time-series-preparation\decomposition.md
Which parameter controls how rapidly the seasonal component can change in STL decompositions?,Season length,Frequency,Seasonal smoother,Robust to outliers,C,../data/dataiku\time-series\time-series-preparation\decomposition.md
Which of the following window shapes can be applied to the Sum and Average operations in the extrema extraction recipe?,Rectangular,Gaussian,Hamming,All of the above,D,../data/dataiku\time-series\time-series-preparation\extrema-extraction.md
What type of data does the extrema extraction recipe work on?,Categorical columns,Text columns,Numerical columns,Boolean columns,C,../data/dataiku\time-series\time-series-preparation\extrema-extraction.md
What is the purpose of the 'Causal window' option in the extrema extraction recipe?,To include future observations only,To include past and present observations,To include only present observations,"To include past, present, and future observations",B,../data/dataiku\time-series\time-series-preparation\extrema-extraction.md
Which of the following operations is NOT included in the Dataiku DSS time series preparation plugin?,Resampling,Windowing,Extrema extraction,Normalization,D,../data/dataiku\time-series\time-series-preparation\index.md
What is required to install the time series preparation plugin in Dataiku DSS?,Administrative privileges,Python 2.7,A premium account,A special license,A,../data/dataiku\time-series\time-series-preparation\index.md
"From version 2.0.0, which Python version does the time series preparation plugin support?",Python 2.7,Python 3.6,Python 3.7,Python 3.8,B,../data/dataiku\time-series\time-series-preparation\index.md
Which of the following parameters specifies the minimum acceptable value in the time series interval for the interval extraction recipe?,Time column,Minimal valid value,Maximum valid value,Acceptable deviation,B,../data/dataiku\time-series\time-series-preparation\interval-extraction.md
What is the purpose of the 'Long format checkbox' in the interval extraction recipe?,To indicate that the input data is in the long format,To specify the minimum acceptable value,To define the unit of acceptable deviation,To name the column containing timestamps,A,../data/dataiku\time-series\time-series-preparation\interval-extraction.md
Which of the following units can be used to specify the acceptable deviation and minimal segment duration in the interval extraction recipe?,"Days, Hours, Minutes, Seconds, Milliseconds, Microseconds, Nanoseconds","Kilometers, Meters, Centimeters, Millimeters","Bytes, Kilobytes, Megabytes, Gigabytes","Liters, Milliliters, Cubic meters",A,../data/dataiku\time-series\time-series-preparation\interval-extraction.md
Which of the following methods is NOT available for interpolating missing values in the resampling recipe?,Linear,Quadratic,Exponential,Cubic,C,../data/dataiku\time-series\time-series-preparation\resampling.md
What is the purpose of the 'Long format checkbox' parameter in the resampling recipe?,To indicate that the input data is in the long format,To specify the time step for resampling,To name the column that contains the timestamps,To select the interpolation method,A,../data/dataiku\time-series\time-series-preparation\resampling.md
Which of the following units is NOT available for specifying the time step in the resampling recipe?,Weeks,Hours,Decades,Milliseconds,C,../data/dataiku\time-series\time-series-preparation\resampling.md
Which of the following window shapes is specified as a nonlinear window in the shape of a Gaussian distribution?,Rectangular,Triangle,Gaussian,Hamming,C,../data/dataiku\time-series\time-series-preparation\windowing.md
What is the minimum width of the window that can be specified in the windowing recipe?,Equal to the frequency of the time series,Smaller than the frequency of the time series,Larger than the frequency of the time series,Any value,A,../data/dataiku\time-series\time-series-preparation\windowing.md
Which of the following operations can be performed on a window of time series data in the windowing recipe?,Retrieve,Min,First order derivative,All of the above,D,../data/dataiku\time-series\time-series-preparation\windowing.md
Which log file should you check for errors on a Govern node in Dataiku DSS?,backend.log,ipython.log,hproxy.log,governserver.log,D,../data/dataiku\troubleshooting\diagnosing.md
What is the first step to take if you encounter an error message in the DSS UI that you cannot understand?,Contact Dataiku Support immediately,Restart the DSS instance,Study the log files of DSS,Reinstall DSS,C,../data/dataiku\troubleshooting\diagnosing.md
Which of the following is NOT included in the DSS instance diagnosis?,Information about the machine running DSS,Log files of DSS,Your datasets or managed folders data,Information about your Hadoop and Spark setup,C,../data/dataiku\troubleshooting\diagnosing.md
Which of the following support options is specifically available for Dataiku Cloud customers?,Academy,Community Answers,Live chat,Editor support,D,../data/dataiku\troubleshooting\index.md
What is the error code for 'Job activity directory size limit reached'?,ERR_ACTIVITY_DIRECTORY_SIZE_LIMIT_REACHED,ERR_BUNDLE_ACTIVATE_BAD_CONNECTION_PERMISSIONS,ERR_CODEENV_CONTAINER_IMAGE_FAILED,ERR_CONNECTION_API_BAD_CONFIG,A,../data/dataiku\troubleshooting\index.md
Which of the following is NOT a common issue listed in the context?,DSS does not start / Cannot connect,Cannot login to DSS,DSS crashes / The 'Disconnected' overlay appears,Failed to establish HiveServer2 connection,D,../data/dataiku\troubleshooting\index.md
Which of the following support options is available specifically for Dataiku Cloud customers using a hosted instance?,Live chat on Dataiku website,Public community,Native built-in support window,Support portal,C,../data/dataiku\troubleshooting\obtaining-support.md
What is the default priority that should be selected for most issues and questions when opening a support ticket?,P1/Urgent,P2/High,P3/Medium,P4/Low,C,../data/dataiku\troubleshooting\obtaining-support.md
Which of the following support tiers means that Dataiku will make best efforts to solve issues but may consider them as requests for future enhancements with no special priority?,Supported (default),Experimental,Tier 2 support,Public Preview,B,../data/dataiku\troubleshooting\support-tiers.md
Which support tier indicates that Dataiku Support is not able to provide support on the particular capabilities?,Supported (default),Experimental,Tier 2 support,Not supported,D,../data/dataiku\troubleshooting\support-tiers.md
What does it mean when a feature is marked as 'Deprecated' in Dataiku DSS?,The feature is still supported but scheduled for removal in a future release.,The feature is not supported at all.,The feature is in Public Preview and may change significantly.,The feature is experimental and may be upgraded or deprecated.,A,../data/dataiku\troubleshooting\support-tiers.md
What is the default size limit (in megabytes) for the job activity directory in DSS?,10000 MB,15000 MB,20000 MB,25000 MB,C,../data/dataiku\troubleshooting\errors\ERR_ACTIVITY_DIRECTORY_SIZE_LIMIT_REACHED.md
Which of the following actions can a DSS administrator take to prevent the ERR_ACTIVITY_DIRECTORY_SIZE_LIMIT_REACHED error?,Increase the server's disk space,Change the value of dku.recipes.visual.h2based.directorySize.maxMB in config/dip.properties,Use a different data directory,Restart the DSS server,B,../data/dataiku\troubleshooting\errors\ERR_ACTIVITY_DIRECTORY_SIZE_LIMIT_REACHED.md
What happens if a container image build fails when creating or updating a code environment in DSS?,The code environment cannot be used at all.,The code environment can still be used on the DSS backend but not on containers.,The code environment will automatically retry the build.,The code environment will be deleted.,B,../data/dataiku\troubleshooting\errors\ERR_CODEENV_CONTAINER_IMAGE_FAILED.md
Where can you find the logs of the 'docker build' command if a container image build fails?,In the DSS backend settings.,In the code environment creation/update window or in the code environment logs.,In the Dataiku support portal.,In the system's root directory.,B,../data/dataiku\troubleshooting\errors\ERR_CODEENV_CONTAINER_IMAGE_FAILED.md
What is the consequence of the ERR_CODEENV_JUPYTER_SUPPORT_INSTALL_FAILED error in Dataiku?,You cannot use the code environment in code recipes.,You cannot use the code environment for Visual ML.,You cannot use the code environment in Jupyter notebooks.,You cannot use the code environment at all.,C,../data/dataiku\troubleshooting\errors\ERR_CODEENV_JUPYTER_SUPPORT_INSTALL_FAILED.md
What should be done if a code environment for deep learning with pretrained models does not exist?,Ignore the operation and proceed without it.,Install the relevant code environment in the Administration > Misc settings.,Restart the system and try again.,Contact customer support for assistance.,B,../data/dataiku\troubleshooting\errors\ERR_CODEENV_MISSING_DEEPHUB_ENV.md
What should you check first if you encounter the ERR_DATASET_CSV_ROW_TOO_LARGE error?,The dataset's quoting style and quote/escape characters.,The dataset's column names.,The dataset's file size.,The dataset's encoding format.,A,../data/dataiku\troubleshooting\errors\ERR_DATASET_CSV_ROW_TOO_LARGE.md
"If the long row in a CSV file is inherent to the dataset and not due to format configuration, what can you do to resolve the ERR_DATASET_CSV_ROW_TOO_LARGE error?",Increase the limit 'Maximum characters per row'.,Change the dataset's delimiter.,Remove the long row from the dataset.,Convert the CSV file to another format.,A,../data/dataiku\troubleshooting\errors\ERR_DATASET_CSV_ROW_TOO_LARGE.md
What is the most likely cause of the ERR_DATASET_CSV_UNTERMINATED_QUOTE error in Dataiku DSS?,A broken CSV file,Incorrect CSV quoting style,Insufficient memory,Network connectivity issues,B,../data/dataiku\troubleshooting\errors\ERR_DATASET_CSV_UNTERMINATED_QUOTE.md
Which CSV quoting style should you try first if you encounter the ERR_DATASET_CSV_UNTERMINATED_QUOTE error?,Excel,Unix,Escaping only,None of the above,B,../data/dataiku\troubleshooting\errors\ERR_DATASET_CSV_UNTERMINATED_QUOTE.md
What is the first step to remediate an invalid configuration for an API endpoint?,Refer to the documentation on the API Node Endpoints.,Run test queries to validate the endpoint’s configuration.,Go to the settings screen for the affected endpoint.,Ensure the version of the Design/Automation node and the API node is the same.,C,../data/dataiku\troubleshooting\errors\ERR_ENDPOINT_INVALID_CONFIG.md
What should you do if the column selected to represent Object Detection bounding boxes has the wrong format?,Ignore the error and proceed.,Make sure your column follows the supported format by DSS.,Change the column type to integer.,Delete the column and create a new one.,B,../data/dataiku\troubleshooting\errors\ERR_FORMAT_BOUNDING_BOXES.md
Which of the following is NOT a common reason for an HTTP connection failure in DSS?,"The connection settings (host, port, …) to the server are invalid",The HTTP server is not running or not accepting connections,The URL is incorrectly labeled as HTTPS instead of HTTP or vice-versa,The dataset contains too many records,D,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_HTTP_CONNECTION_FAILED.md
What is the first step in solving an HTTP connection failure issue in DSS?,Check if a firewall is blocking connections,Try accessing the URLs using the curl command line from the DSS server,Go to the dataset’s or download recipe settings screen,Refer to the documentation on HTTP dataset,C,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_HTTP_CONNECTION_FAILED.md
Which of the following is NOT a common reason for an HTTP request failure in DSS?,The URL is incorrect,There was an error on the HTTP server’s side,The URL is correctly labeled as HTTPS instead of HTTP,There is a proxy preventing DSS from fetching that URL,C,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_HTTP_REQUEST_FAILED.md
What is the first step for solving an HTTP request failure issue in DSS?,Check if a proxy is between DSS and the HTTP server(s),Refer to the documentation on HTTP dataset,Go to the dataset’s or download recipe settings screen,Try accessing these URLs using the curl command line from the DSS server,C,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_HTTP_REQUEST_FAILED.md
Which of the following is NOT a common reason for failure to establish an SSH connection in DSS?,The connection settings to the server are invalid,The SSH server is not running or not accepting connections,There is a firewall blocking connection attempts from DSS to the SSH server,The DSS application is outdated,D,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_SSH_CONNECTION_FAILED.md
Which of the following actions can trigger the ERR_FSPROVIDER_TOO_MANY_FILES error in Dataiku DSS?,Trying to read from a dataset that is made up of a very large number of files.,Clicking on the 'List files' button before setting the root path of a dataset.,Trying to browse a folder that contains a very large number of files.,All of the above.,D,../data/dataiku\troubleshooting\errors\ERR_FSPROVIDER_TOO_MANY_FILES.md
Which of the following is NOT a common reason for failure to establish a connection to HiveServer2?,"The connection settings (host, port, …) to the server are invalid",The HiveServer2 server is not running or not accepting connections,The HiveServer2 server is overloaded with requests,There is a firewall blocking connection attempts from DSS to HiveServer2,C,../data/dataiku\troubleshooting\errors\ERR_HIVE_HS2_CONNECTION_FAILED.md
What is the main limitation of the current Hive version mentioned in the context?,It does not support JOIN operations.,It does not support UNION clause but only supports UNION ALL.,It does not support SELECT DISTINCT.,It does not support GROUP BY clause.,B,../data/dataiku\troubleshooting\errors\ERR_HIVE_LEGACY_UNION_SUPPORT.md
Which of the following is NOT a suggested remediation for the Hive UNION clause limitation?,Use stack recipe without distinct postfilter and create a distinct recipe for the result.,Apply distinct recipe on each of the stacked datasets and then stack them.,Create a Hive recipe with a query that uses UNION ALL and then wrap the whole query with SELECT DISTINCT.,Upgrade the Hive version to support UNION clause.,D,../data/dataiku\troubleshooting\errors\ERR_HIVE_LEGACY_UNION_SUPPORT.md
Which of the following is NOT a cause of hard failures of DSS?,Hard crash of DSS,Hard reboot of the machine,Out of disk space,Network latency issues,D,../data/dataiku\troubleshooting\errors\ERR_MISC_EIDB.md
What is a recommended alternative to using internal databases in DSS to avoid corruption?,Using an external PostgreSQL database,Increasing disk space,Regularly rebooting the machine,Using cloud storage solutions,A,../data/dataiku\troubleshooting\errors\ERR_MISC_EIDB.md
What are the two usual underlying causes for the ERR_ML_MODEL_DETAILS_OVERFLOW error in Dataiku?,The model is computed on a dataset with a very large number of columns and the model is tree-based with a large number of nodes.,The model is computed on a dataset with a very large number of rows and the model is tree-based with a large number of nodes.,The model is computed on a dataset with a very large number of columns and the model is linear with a large number of coefficients.,The model is computed on a dataset with a very large number of rows and the model is linear with a large number of coefficients.,A,../data/dataiku\troubleshooting\errors\ERR_ML_MODEL_DETAILS_OVERFLOW.md
What is one way a DSS administrator can remediate the ERR_ML_MODEL_DETAILS_OVERFLOW error?,By increasing the number of columns in the dataset.,By setting the value of dku.fileSizeLimit.modelDetailJson in config/dip.properties.,By reducing the number of rows in the dataset.,By increasing the number of trees in the model.,B,../data/dataiku\troubleshooting\errors\ERR_ML_MODEL_DETAILS_OVERFLOW.md
"As of DSS version 9, which Machine Learning backend is no longer supported?",Hadoop,Vertica,Spark,TensorFlow,B,../data/dataiku\troubleshooting\errors\ERR_ML_VERTICA_NOT_SUPPORTED.md
Which of the following is NOT a common cause for the error 'Cannot check schema consistency because of recipe configuration' in Dataiku DSS?,A Pivot recipe is configured to always recompute output schema.,The modality list of a Pivot recipe is not up-to-date.,A SparkSQL recipe is using global metastore mode.,A Sync recipe is configured in 'strict schema' mode.,D,../data/dataiku\troubleshooting\errors\ERR_RECIPE_CANNOT_CHECK_SCHEMA_CONSISTENCY_WITH_RECIPE_CONFIG.md
What is one remediation step for a Pivot recipe that causes a schema consistency error in Dataiku DSS?,Disable the global metastore mode.,Switch the Sync recipe to strict schema mode.,Disable the schema re-computation and run the recipe.,Manually set the schema on the output dataset.,C,../data/dataiku\troubleshooting\errors\ERR_RECIPE_CANNOT_CHECK_SCHEMA_CONSISTENCY_WITH_RECIPE_CONFIG.md
Which of the following is NOT a common example of an incompatibility issue with the selected engine for a recipe in Dataiku?,Using the SQL engine with non-SQL input datasets.,Using SQL computed columns on DSS engine.,Changing the model for one with a different backend.,Using numerical features for ML in SQL.,D,../data/dataiku\troubleshooting\errors\ERR_RECIPE_CANNOT_USE_ENGINE.md
What does the error ERR_SPARK_FAILED_DRIVER_OOM indicate?,The DSS machine is out of memory.,The Spark driver experienced an out of memory situation.,The Spark executors are out of memory.,The Spark code has syntax errors.,B,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_DRIVER_OOM.md
What is a recommended remediation if a Spark code recipe fails due to an out of memory error in the driver?,Increase the number of Spark executors.,Check the code for large allocations performed in the driver.,Decrease the size of the dataset.,Switch to a different programming language.,B,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_DRIVER_OOM.md
What is the default value of the 'spark.driver.memory' setting if not explicitly set?,512 megabytes,2 gigabytes,1 gigabyte,4 gigabytes,C,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_DRIVER_OOM.md
What does the error ERR_SPARK_FAILED_TASK_OOM indicate?,The DSS machine is out of memory.,The Spark processing failed due to a Java out of memory situation in one of the executors.,The Spark code has syntax errors.,The Spark cluster is not configured properly.,B,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_TASK_OOM.md
What is the default value of 'spark.executor.memory' if not set?,512 megabytes,2 gigabytes,1 gigabyte,4 gigabytes,C,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_TASK_OOM.md
"If Spark is running in 'local' master mode, which setting should be increased to allocate more memory?",spark.executor.memory,spark.driver.memory,spark.memory.fraction,spark.memory.storageFraction,B,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_TASK_OOM.md
What does the error ERR_SPARK_FAILED_YARN_KILLED_MEMORY indicate?,YARN has forcefully killed the Spark components due to excessive memory usage.,Spark has completed its task successfully.,YARN has successfully allocated additional memory to Spark.,Spark has encountered a disk space issue.,A,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_YARN_KILLED_MEMORY.md
What is the default memory overhead for Spark executors on YARN?,5% of executor memory,10% of executor memory,15% of executor memory,20% of executor memory,B,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_YARN_KILLED_MEMORY.md
What is the recommended range for setting the value of spark.yarn.executor.memoryOverhead?,100 to 300 MB,300 to 500 MB,500 to 1000 MB,1000 to 1500 MB,C,../data/dataiku\troubleshooting\errors\ERR_SPARK_FAILED_YARN_KILLED_MEMORY.md
What is a JDBC driver used for in DSS?,To connect to SQL databases,To create visualizations,To manage user permissions,To perform data cleaning,A,../data/dataiku\troubleshooting\errors\ERR_SQL_CANNOT_LOAD_DRIVER.md
Which of the following actions can cause the ERR_SQL_CANNOT_LOAD_DRIVER error in DSS?,Trying to create a new connection to a SQL database,Attempting to visualize data,Running a Python script,Exporting a dataset to a CSV file,A,../data/dataiku\troubleshooting\errors\ERR_SQL_CANNOT_LOAD_DRIVER.md
Who can fix the ERR_SQL_CANNOT_LOAD_DRIVER issue in DSS?,Any user,A DSS administrator,A data analyst,A project manager,B,../data/dataiku\troubleshooting\errors\ERR_SQL_CANNOT_LOAD_DRIVER.md
Which of the following is NOT a common reason for the ERR_SQL_DB_UNREACHABLE error in Dataiku DSS?,The connection settings to the database are invalid.,The database server is not running or not accepting connections.,The SQL query syntax is incorrect.,There is a firewall blocking connection attempts from DSS to the database server.,C,../data/dataiku\troubleshooting\errors\ERR_SQL_DB_UNREACHABLE.md
Who can fix the ERR_SQL_DB_UNREACHABLE issue in Dataiku DSS?,Any user with access to the project.,A DSS administrator.,A database administrator.,A data scientist.,B,../data/dataiku\troubleshooting\errors\ERR_SQL_DB_UNREACHABLE.md
What is a possible remediation for the error ERR_SQL_POSTGRESQL_TOOMANYSESSIONS?,Increase the number of simultaneous connections allowed by the database.,Run fewer recipes at the same time.,Limit the number of concurrent activities on the Postgres connection.,All of the above.,D,../data/dataiku\troubleshooting\errors\ERR_SQL_POSTGRESQL_TOOMANYSESSIONS.md
What is the operation called when Vertica merges ROS containers?,Mergein,Mergeout,Mergeup,Mergedown,B,../data/dataiku\troubleshooting\errors\ERR_SQL_VERTICA_TOOMANYROS.md
Which of the following actions can a database administrator take to manually trigger a mergeout in Vertica?,SELECT DO_TM_TASK('mergein');,SELECT DO_TM_TASK('mergeout');,SELECT DO_TM_TASK('mergeup');,SELECT DO_TM_TASK('mergedown');,B,../data/dataiku\troubleshooting\errors\ERR_SQL_VERTICA_TOOMANYROS.md
What is a possible solution if your Vertica database has too many active sessions simultaneously accessing it?,Increase the number of simultaneous connections allowed.,Run fewer recipes at the same time.,Limit the number of concurrent activities on the Vertica connection.,All of the above.,D,../data/dataiku\troubleshooting\errors\ERR_SQL_VERTICA_TOOMANYSESSIONS.md
Which of the following is NOT a reason for the ERR_SYNAPSE_CSV_DELIMITER error when loading CSV data from Azure Blob Storage to Synapse?,The data contains multiline fields.,The field separator is present in the data without a quoting character.,The string delimiter is present in the data and quoting is used.,The CSV file is too large to be processed by Azure.,D,../data/dataiku\troubleshooting\errors\ERR_SYNAPSE_CSV_DELIMITER.md
What is one solution if multiline fields are causing the ERR_SYNAPSE_CSV_DELIMITER error?,Disable the fast-path and use the DSS (stream) engine.,Force using quoting for the recipe.,Switch the input dataset format to CSV with Unix style.,Add a property 'azure_to_synapse.use.quoting -> true' on the input dataset.,A,../data/dataiku\troubleshooting\errors\ERR_SYNAPSE_CSV_DELIMITER.md
Which user profiles are likely to encounter the error ERR_USER_ACTION_FORBIDDEN_BY_PROFILE when attempting to build a Visual Machine Learning model?,READER and DATA_ANALYST,DESIGNER and ADMINISTRATOR,READER and DESIGNER,DATA_ANALYST and ADMINISTRATOR,A,../data/dataiku\troubleshooting\errors\ERR_USER_ACTION_FORBIDDEN_BY_PROFILE.md
What should you do to resolve the error ERR_USER_ACTION_FORBIDDEN_BY_PROFILE?,Restart the DSS application,Update the DSS license,Ask the DSS administrator to update the user profile,Reinstall the DSS software,C,../data/dataiku\troubleshooting\errors\ERR_USER_ACTION_FORBIDDEN_BY_PROFILE.md
What is the potential issue when the maximum heap size (Xmx) is set between 32g and 48g in the Java Virtual Machine?,"Compressed references are enabled, leading to increased memory usage.","Compressed references are disabled, leading to less available heap memory.",The application crashes due to insufficient memory.,The JVM does not start.,B,../data/dataiku\troubleshooting\errors\WARN_JVM_CONFIG_XMX_IN_RED_ZONE.md
What is a potential issue caused by having too many scenario run logs or logs that are too old in a Dataiku instance?,Increased security vulnerabilities,Performance issues and disk space usage,Loss of data integrity,Increased computational power,B,../data/dataiku\troubleshooting\errors\WARN_PROJECT_LARGE_SCENARIO_HISTORY.md
What is one recommended remediation for handling too many or too old scenario run logs in Dataiku?,Increase disk space,Upgrade the Dataiku instance,Manually delete the scenario runs logs,Increase the number of scenario runs,C,../data/dataiku\troubleshooting\errors\WARN_PROJECT_LARGE_SCENARIO_HISTORY.md
What is a potential issue caused by having too many or too old continuous activities logs in a Dataiku project?,Increased security vulnerabilities,Performance issues and disk space fill-up,Loss of project data,Inaccurate machine learning model predictions,B,../data/dataiku\troubleshooting\errors\WARN_PROJECT_LARGE_STREAMING_HISTORY.md
What is one recommended remediation for handling too many or too old continuous activities logs in Dataiku?,Upgrade the Dataiku instance,Increase disk space,Manually delete the logs or run the 'Clear continuous activities logs' macro,Reboot the Dataiku server,C,../data/dataiku\troubleshooting\errors\WARN_PROJECT_LARGE_STREAMING_HISTORY.md
What permission must an administrator grant to allow a Spark job to read or write an S3 dataset directly?,Read connection details,Write connection details,Execute connection details,Modify connection details,A,../data/dataiku\troubleshooting\errors\WARN_RECIPE_SPARK_INDIRECT_S3.md
What can cause a Spark executor running in a Kubernetes pod to be forcefully terminated?,Underestimating the memory overhead factor.,Overestimating the memory overhead factor.,Setting the executor memory too high.,Running too few subprocesses.,A,../data/dataiku\troubleshooting\errors\WARN_SPARK_K8S_KILLED_EXECUTORS.md
Which properties can be adjusted to prevent Spark executors from being killed in Kubernetes?,spark.executor.cores and spark.executor.instances,spark.executor.memory and spark.kubernetes.memoryOverheadFactor,spark.driver.memory and spark.driver.cores,spark.executor.memory and spark.executor.cores,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_K8S_KILLED_EXECUTORS.md
Which of the following operations in PySpark can cause the Spark driver to call the executors directly?,Using 'collect()',Using 'toPandas()',Using 'broadcast join',All of the above,D,../data/dataiku\troubleshooting\errors\WARN_SPARK_MISSING_DRIVER_TO_EXECUTOR_CONNECTIVITY.md
What is a common issue that can prevent the Spark driver from contacting the executors directly?,Insufficient memory on the driver,Firewall rules blocking access to the IPs of the pods,Incorrect Spark version,Driver running out of disk space,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_MISSING_DRIVER_TO_EXECUTOR_CONNECTIVITY.md
Which Spark property can be set to avoid using broadcast join in a PySpark recipe?,spark.sql.autoBroadcastJoinThreshold -> -1,spark.executor.memory -> 4g,spark.driver.maxResultSize -> 2g,spark.sql.shuffle.partitions -> 200,A,../data/dataiku\troubleshooting\errors\WARN_SPARK_MISSING_DRIVER_TO_EXECUTOR_CONNECTIVITY.md
Which of the following storage types is recommended for distributed reads in Spark?,Local Disk,HDFS,FTP Server,NFS,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_NON_DISTRIBUTED_READ.md
What is a potential consequence of Spark reading data in a non-distributed way?,Increased parallelization,Improved network performance,Single worker handling all I/O and conversion,Decreased I/O activity,C,../data/dataiku\troubleshooting\errors\WARN_SPARK_NON_DISTRIBUTED_READ.md
Which of the following storage options is NOT recommended for ensuring compatibility with distributed writes in Spark?,HDFS,S3,Local Disk,GCS,C,../data/dataiku\troubleshooting\errors\WARN_SPARK_NON_DISTRIBUTED_WRITE.md
What is a potential consequence of Spark not being able to handle the writing part directly?,Increased parallelization,Single worker handling all I/O and conversion,Improved network activity,Enhanced data processing speed,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_NON_DISTRIBUTED_WRITE.md
What is one of the recommended remediations for Spark tasks encountering disk space issues in a Kubernetes cluster?,Increase the number of tasks each executor handles concurrently.,Reduce the number of tasks each executor handles concurrently by setting spark.executor.cores to 1.,Decrease parallelism by reducing the number of partitions.,Provision nodes with smaller disks for the Kubernetes cluster.,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_TASK_DISKFULL.md
What is the property name for setting memory overhead in Yarn for Spark executors?,spark.executor.memory,spark.executor.memoryOverhead,spark.kubernetes.memoryOverheadFactor,spark.executor.memoryFactor,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_TASK_OOM.md
What is the minimum recommended value for 'spark.executor.memory'?,1g,2g,4g,8g,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_TASK_OOM.md
What happens when a Spark task exceeds the memory limit enforced by its container?,The task is paused and resumed later.,The container is forcefully terminated by its manager.,The task continues running with reduced performance.,The task is moved to another executor.,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_TASK_OOM.md
What is a potential issue when using Python UDFs in PySpark?,Incompatible Python versions between the driver and executors.,Insufficient memory allocation.,Network latency between the driver and executors.,Lack of support for Python in Spark.,A,../data/dataiku\troubleshooting\errors\WARN_SPARK_UDFS_MAY_BE_BROKEN.md
